characteristic_id,characteristic_name,usgs_pcode
97,"Acidity, (H+)",191.0
98,Alachlor,46342.0
99,Aldrin,UNKNOWN
100,Aluminum,34792.0
101,Aluminum,UNKNOWN
102,Ammonia,UNKNOWN
103,Ammonia and ammonium,608.0
104,Ammonia and ammonium,71846.0
105,Ammonia-nitrogen,UNKNOWN
106,Ammonium,UNKNOWN
107,Ammonium as NH4,UNKNOWN
108,Anthracene,UNKNOWN
109,Anthracene-d10,UNKNOWN
110,Antimony,UNKNOWN
111,Arsenic,34802.0
112,Arsenic,UNKNOWN
113,Atrazine,39632.0
114,Azinphos-methyl,82686.0
115,Barium,34807.0
116,Bed sediment particle size,80157.0
117,Bed sediment particle size,80164.0
118,Bed sediment particle size,80165.0
119,Bed sediment particle size,80166.0
120,Bed sediment particle size,80167.0
121,Bed sediment particle size,80282.0
122,Bed sediment particle size,80283.0
123,Bed sediment particle size,80293.0
124,Bed sediment particle size,80294.0
125,Benfluralin,82673.0
126,Benz[a]anthracene,UNKNOWN
127,Benzo(a)anthracene-D12,UNKNOWN
128,Benzo(b)fluoranthene,UNKNOWN
129,Benzo(b)fluoranthene-D12,UNKNOWN
130,"Benzo(g,h,i)perylene-D12",UNKNOWN
131,Benzo[a]pyrene,UNKNOWN
132,Benzo[e]pyrene,UNKNOWN
133,"Benzo[g,h,i]perylene",UNKNOWN
134,Benzo[ghi]perylene,UNKNOWN
135,Benzo[k]fluoranthene,UNKNOWN
136,Beryllium,34812.0
137,Biogenic Silica,UNKNOWN
138,Biphenyl,UNKNOWN
139,Bismuth,34817.0
140,Butylate,4028.0
141,C1-Benzo[a]anthracenes/chrysenes,UNKNOWN
142,C1-C3 Fluorenes,UNKNOWN
143,C1-Fluoranthenes/pyrenes,UNKNOWN
144,C1-Phenanthrenes/anthracenes,UNKNOWN
145,C2-Benzo[a]anthracenes/chrysenes,UNKNOWN
146,C2-Dibenzothiophenes,UNKNOWN
147,C2-Fluorenes,UNKNOWN
148,C2-Naphthalenes,UNKNOWN
149,C2-Phenanthrenes/anthracenes,UNKNOWN
150,C3-Benzo[a]anthracenes/chrysenes,UNKNOWN
151,C3-Dibenzothiophenes,UNKNOWN
152,C3-Fluorenes,UNKNOWN
153,C3-Naphthalenes,UNKNOWN
154,C3-Phenanthrenes/anthracenes,UNKNOWN
155,C4-Benzo[a]anthracenes/chrysenes,UNKNOWN
156,C4-Naphthalenes,UNKNOWN
157,C4-Phenanthrenes/anthracenes,UNKNOWN
158,Cadmium,34827.0
159,Cadmium,UNKNOWN
160,Calcium,34832.0
161,Carbaryl,82680.0
162,Carbofuran,82674.0
163,Carbon,694.0
164,Carbon,UNKNOWN
165,Cerium,34837.0
166,Chlorophyll a,32737.0
167,Chlorophyll a,70953.0
168,Chlorophyll a,UNKNOWN
169,"Chlorophyll a, corrected for pheophytin",UNKNOWN
170,"Chlorophyll a, uncorrected for pheophytin",UNKNOWN
171,Chlorpyrifos,38933.0
172,Chlorpyrifos,UNKNOWN
173,Chlorpyrifos-methyl,UNKNOWN
174,Chlorthal-dimethyl,82682.0
175,Chlorthal-dimethyl,UNKNOWN
176,Chromium,34842.0
177,Chromium,UNKNOWN
178,Chrysene,UNKNOWN
179,Chrysene-d12,UNKNOWN
180,Cobalt,34847.0
181,Cobalt,UNKNOWN
182,Conductivity,UNKNOWN
183,Copper,34852.0
184,Copper,UNKNOWN
185,Coronene,UNKNOWN
186,Count,UNKNOWN
187,Cyanazine,4041.0
188,Cyanide,UNKNOWN
189,Decachlorobiphenyl,UNKNOWN
190,Density as sigma-t,UNKNOWN
191,Depth,64.0
192,Depth,UNKNOWN
193,"Depth, Secchi disk depth",UNKNOWN
194,Diazinon,39572.0
195,Diazinon,UNKNOWN
196,Diazinon-D10,91063.0
197,"Dibenz[a,h]anthracene",UNKNOWN
198,Dibenzothiophene,UNKNOWN
199,Dibenzothiophene (C1-C3),UNKNOWN
200,Dieldrin,39381.0
201,Dieldrin,UNKNOWN
202,Dissolved oxygen (DO),UNKNOWN
203,Disulfoton,82677.0
204,Endosulfan sulfate,UNKNOWN
205,Endrin,UNKNOWN
206,Endrin aldehyde,UNKNOWN
207,Endrin ketone,UNKNOWN
208,Enterococcus,UNKNOWN
209,Escherichia coli,UNKNOWN
210,Ethalfluralin,82663.0
211,Ethoprop,82672.0
212,Europium,34857.0
213,Fecal Coliform,UNKNOWN
214,Fluoranthene,UNKNOWN
215,Fluorene,UNKNOWN
216,Fluorene-d10,UNKNOWN
217,Fluorescence index,32312.0
218,"Fluorescence, excitation 260 emission 450",32304.0
219,"Fluorescence, excitation 275 emission 304",32305.0
220,"Fluorescence, excitation 275 emission 340",32311.0
221,"Fluorescence, excitation 280 emission 370",32310.0
222,"Fluorescence, excitation 300 emission 390",32309.0
223,"Fluorescence, excitation 340 emission 440",52901.0
224,"Fluorescence, excitation 370 emission 460",52902.0
225,"Fluorescence, excitation 390 emission 510",32307.0
226,"Fluorescence, excitation 420 emission 460",32355.0
227,Fonofos,4095.0
228,Gallium,34862.0
229,General observation (text),UNKNOWN
230,Gold,34872.0
231,"Grain size, clay (<0.005 MM) - Percent Passing",UNKNOWN
232,"Grain size, coarse sand (>=630 to 2000 um)",UNKNOWN
233,"Grain size, coarse silt (>=20 to 63 um)",UNKNOWN
234,Heptachlor,UNKNOWN
235,Heptachlor epoxide,UNKNOWN
236,Hexachlorobenzene,UNKNOWN
237,Holmium,34877.0
238,Humification index,32313.0
239,Hydrogen sulfide,UNKNOWN
240,"Indeno[1,2,3-cd]pyrene",UNKNOWN
241,Inorganic nitrogen (nitrate and nitrite),631.0
242,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,UNKNOWN
243,"Inorganic nitrogen***retired***use Inorganic nitrogen (NO2, NO3, & NH3)",UNKNOWN
244,Inorganic phosphorus,UNKNOWN
245,Iron,34882.0
246,Iron,UNKNOWN
247,Lanthanum,34887.0
248,Lead,34892.0
249,Lead,UNKNOWN
250,Length,UNKNOWN
251,Light attenuation coefficient,70971.0
252,Light attenuation coefficient,UNKNOWN
253,"Light, photosynthetic active radiation (PAR)",UNKNOWN
254,"Light, photosynthetic active radiation at depth (PAR)",UNKNOWN
255,"Light, transmissivity",UNKNOWN
256,Lindane,UNKNOWN
257,Linuron,82666.0
258,Lipids,UNKNOWN
259,Lithium,34897.0
260,Magnesium,34902.0
261,Malathion,39532.0
262,Manganese,34907.0
263,Manganese,UNKNOWN
264,Mercury,34912.0
265,Mercury,UNKNOWN
266,Methoxychlor,UNKNOWN
267,Methyl parathion,82667.0
268,Metolachlor,39415.0
269,Metribuzin,82630.0
270,Microcystin,UNKNOWN
271,Mirex,UNKNOWN
272,Moisture content,UNKNOWN
273,Molinate,82671.0
274,Molybdenum,34917.0
275,Naphthalene,UNKNOWN
276,Naphthalene-d8,UNKNOWN
277,Napropamide,82684.0
278,Neodymium,34922.0
279,Nickel,34927.0
280,Nickel,UNKNOWN
281,Niobium,34932.0
282,Nitrate,618.0
283,Nitrate,71851.0
284,Nitrate,UNKNOWN
285,Nitrate + Nitrite,UNKNOWN
286,Nitrite,613.0
287,Nitrite,71856.0
288,Nitrite,UNKNOWN
289,Nitrogen,49570.0
290,Nitrogen,UNKNOWN
291,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",600.0
292,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",62854.0
293,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",UNKNOWN
294,Oil and Grease,UNKNOWN
295,Organic Nitrogen,607.0
296,Organic carbon,681.0
297,Organic carbon,UNKNOWN
